Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,37,63,131,309,431
Expenses+,41,48,106,256,355
Operating Profit,-4,15,25,53,76
OPM %,-12%,24%,19%,17%,18%
Other Income+,1,0,1,4,4
Interest,4,6,7,6,6
Depreciation,3,5,5,7,8
Profit before tax,-12,5,14,44,66
Tax %,5%,19%,14%,9%,
Net Profit+,-12,4,12,40,60
EPS in Rs,-1.17,0.37,1.14,3.19,4.71
Dividend Payout %,0%,9%,4%,0%,
