Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"2,184","2,217","2,133","2,079","2,129"
Expenses+,"1,925","1,991","1,902","1,877","1,915"
Operating Profit,259,226,231,202,213
OPM %,12%,10%,11%,10%,10%
Other Income+,17,25,30,22,22
Interest,8,16,16,15,17
Depreciation,43,46,63,72,75
Profit before tax,225,189,182,138,144
Tax %,25%,26%,26%,27%,
Net Profit+,168,139,134,101,105
EPS in Rs,5.71,4.74,4.58,3.44,3.58
Dividend Payout %,14%,17%,22%,23%,
