Metric,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,105,282,507,480
Expenses+,93,246,448,428
Operating Profit,12,36,60,52
OPM %,11%,13%,12%,11%
Other Income+,-2,4,5,5
Interest,3,7,8,7
Depreciation,4,6,17,19
Profit before tax,3,26,40,30
Tax %,52%,29%,31%,
Net Profit+,2,19,27,21
EPS in Rs,1.34,14.11,18.70,14.48
Dividend Payout %,7%,7%,7%,
