Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,158,140,223,190,219,252,264
Expenses+,123,115,175,143,146,170,180
Operating Profit,34,25,48,47,73,82,84
OPM %,22%,18%,22%,25%,33%,33%,32%
Other Income+,2,-1,2,1,1,4,4
Interest,2,2,2,10,10,9,9
Depreciation,13,16,15,32,33,35,36
Profit before tax,21,6,33,7,31,41,43
Tax %,28%,-1%,28%,10%,26%,25%,
Net Profit+,15,6,24,6,23,31,32
EPS in Rs,220.43,93.33,344.20,94.49,342.46,6.11,6.80
Dividend Payout %,0%,0%,0%,0%,0%,0%,
