Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"6,315","6,559","7,082","8,171","9,151","8,936"
Expenses+,"4,887","5,609","6,453","6,974","7,706","7,772"
Operating Profit,"1,428",950,629,"1,197","1,445","1,164"
OPM %,23%,14%,9%,15%,16%,13%
Other Income+,230,319,272,172,208,266
Interest,163,198,344,448,422,376
Depreciation,545,586,677,741,816,840
Profit before tax,949,485,-120,179,415,214
Tax %,12%,22%,55%,90%,78%,
Net Profit+,835,376,-186,18,91,-24
EPS in Rs,,,-1.41,0.13,0.69,-0.17
Dividend Payout %,0%,18%,0%,82%,20%,
