Metric,Mar 2020,Mar 2021,Mar 2022
Sales+,212,243,337
Expenses+,176,194,263
Operating Profit,36,49,74
OPM %,17%,20%,22%
Other Income+,4,6,5
Interest,14,14,11
Depreciation,11,12,14
Profit before tax,15,29,54
Tax %,26%,27%,23%
Net Profit+,11,21,42
EPS in Rs,6.11,11.76,5.22
Dividend Payout %,0%,47%,115%
