Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,183,253,302,337,452
Expenses+,159,221,263,271,379
Operating Profit,23,32,39,65,73
OPM %,13%,13%,13%,19%,16%
Other Income+,29,20,30,54,53
Interest,1,3,2,2,3
Depreciation,2,2,3,5,7
Profit before tax,49,48,63,112,116
Tax %,14%,16%,12%,11%,
Net Profit+,42,40,55,100,101
EPS in Rs,"110,133.33","137,400.00",5.19,8.54,9.17
Dividend Payout %,0%,0%,0%,12%,
