Metric,Mar 2023,Mar 2024,Mar 2025
Sales+,"3,064","4,428","7,126"
Expenses+,"2,937","4,197","6,751"
Operating Profit,127,231,375
OPM %,4%,5%,5%
Other Income+,43,55,36
Interest,34,56,91
Depreciation,14,16,16
Profit before tax,124,215,305
Tax %,26%,24%,27%
Net Profit+,92,164,223
EPS in Rs,22.96,39.93,6.93
Dividend Payout %,0%,0%,0%
