Metric,Dec 2011,Dec 2012,Dec 2024
Sales+,"7,449","7,608","12,188"
Expenses+,"7,093","7,253","9,883"
Operating Profit,356,355,"2,305"
OPM %,5%,5%,19%
Other Income+,38,7,350
Interest,46,57,16
Depreciation,80,94,129
Profit before tax,268,211,"2,510"
Tax %,31%,33%,25%
Net Profit+,185,141,"1,872"
EPS in Rs,8.72,6.65,88.33
Dividend Payout %,34%,45%,50%
