Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,939,"1,296",797,780,923
Expenses+,891,"1,232",713,679,807
Operating Profit,48,64,84,101,115
OPM %,5%,5%,11%,13%,12%
Other Income+,8,8,9,15,20
Interest,8,10,9,14,15
Depreciation,2,2,4,7,7
Profit before tax,46,60,80,95,113
Tax %,26%,26%,25%,25%,25%
Net Profit+,34,44,60,71,85
EPS in Rs,80.43,105.44,142.47,168.69,20.32
Dividend Payout %,0%,0%,0%,0%,0%
