Metric,Mar 2022,Mar 2023,Mar 2024
Sales+,504,"1,205","1,067"
Expenses+,464,"1,133",969
Operating Profit,40,72,98
OPM %,8%,6%,9%
Other Income+,0,5,14
Interest,9,10,11
Depreciation,9,12,12
Profit before tax,22,55,90
Tax %,28%,25%,26%
Net Profit+,16,42,67
EPS in Rs,5.40,14.17,4.75
Dividend Payout %,0%,0%,0%
