Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,138,296,407,480,477,487
Expenses+,112,243,338,378,430,447
Operating Profit,25,54,69,102,47,40
OPM %,18%,18%,17%,21%,10%,8%
Other Income+,1,1,4,3,18,20
Interest,1,4,4,10,14,15
Depreciation,2,3,7,6,6,7
Profit before tax,23,48,63,89,44,39
Tax %,28%,25%,26%,30%,31%,
Net Profit+,16,36,46,63,30,25
EPS in Rs,274.67,37.48,48.29,12.95,5.41,4.47
Dividend Payout %,0%,0%,0%,2%,6%,
