Metric,Mar 2021,Mar 2024,Mar 2025,TTM
Sales+,149,172,183,204
Expenses+,108,121,141,153
Operating Profit,41,51,42,52
OPM %,28%,30%,23%,25%
Other Income+,0,7,19,20
Interest,0,2,2,2
Depreciation,3,3,4,5
Profit before tax,38,53,55,64
Tax %,24%,24%,25%,
Net Profit+,29,40,41,48
EPS in Rs,1.09,1.49,1.52,1.77
Dividend Payout %,21%,0%,0%,
