Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,175,120,130,168,146
Expenses+,101,101,109,142,121
Operating Profit,74,19,21,26,24
OPM %,42%,16%,16%,15%,17%
Other Income+,1,1,1,2,2
Interest,1,1,3,3,3
Depreciation,3,4,5,5,5
Profit before tax,71,15,14,20,18
Tax %,30%,31%,32%,24%,
Net Profit+,50,10,9,15,14
EPS in Rs,24.64,5.06,4.62,7.40,6.73
Dividend Payout %,9%,36%,39%,24%,
