Metric,Mar 2023,Mar 2024,Mar 2025
Sales+,350,402,468
Expenses+,253,258,304
Operating Profit,97,143,165
OPM %,28%,36%,35%
Other Income+,17,1,2
Interest,69,69,73
Depreciation,49,44,50
Profit before tax,-5,32,45
Tax %,-32%,3%,47%
Net Profit+,-3,31,24
EPS in Rs,-38.40,248.70,0.72
Dividend Payout %,0%,0%,0%
