Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,191,257,365,422,520,517
Expenses+,151,195,282,328,424,427
Operating Profit,39,62,83,94,96,90
OPM %,21%,24%,23%,22%,18%,17%
Other Income+,2,4,4,5,5,5
Interest,1,1,1,1,1,1
Depreciation,2,4,5,8,6,5
Profit before tax,38,61,81,90,94,89
Tax %,24%,25%,26%,27%,26%,
Net Profit+,29,46,60,65,69,66
EPS in Rs,7.34,11.64,15.09,16.58,17.57,16.76
Dividend Payout %,10%,11%,10%,9%,9%,
