Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,360,385,759,"1,430"
Expenses+,322,327,606,"1,010"
Operating Profit,39,58,153,420
OPM %,11%,15%,20%,29%
Other Income+,1,2,0,2
Interest,8,6,14,42
Depreciation,7,8,9,13
Profit before tax,24,47,130,368
Tax %,29%,27%,25%,24%
Net Profit+,17,34,98,281
EPS in Rs,28.93,58.44,166.90,28.21
Dividend Payout %,0%,0%,0%,0%
