Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2025,TTM
Sales+,224,335,456,782,959
Expenses+,137,197,199,452,595
Operating Profit,87,138,257,330,363
OPM %,39%,41%,56%,42%,38%
Other Income+,29,37,30,41,28
Interest,26,17,17,26,28
Depreciation,122,118,121,129,125
Profit before tax,-32,39,149,217,238
Tax %,-30%,26%,25%,28%,
Net Profit+,-22,29,112,157,173
EPS in Rs,-2.59,3.39,12.94,18.08,20.04
Dividend Payout %,0%,15%,15%,11%,
