Metric,Mar 2024,Mar 2025,TTM
Sales+,217,260,302
Expenses+,185,225,255
Operating Profit,32,35,47
OPM %,15%,14%,15%
Other Income+,3,3,3
Interest,12,16,18
Depreciation,9,10,11
Profit before tax,14,11,21
Tax %,21%,30%,
Net Profit+,11,8,15
EPS in Rs,"2,242.00",2.10,4.05
Dividend Payout %,0%,10%,
