Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Revenue+,317,448,585,830,"1,166","1,362"
Interest,106,149,211,289,356,410
Expenses+,99,138,185,243,319,363
Financing Profit,112,162,189,298,491,589
Financing Margin %,35%,36%,32%,36%,42%,43%
Other Income+,6,12,21,32,10,0
Depreciation,5,7,8,10,12,12
Profit before tax,113,167,202,319,489,577
Tax %,23%,23%,23%,22%,23%,
Net Profit+,87,128,155,248,378,446
EPS in Rs,20.33,29.39,35.41,23.13,35.02,41.27
Dividend Payout %,0%,0%,0%,0%,14%,
