Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,370,433,628,760,830
Expenses+,275,326,475,565,610
Operating Profit,95,107,153,196,221
OPM %,26%,25%,24%,26%,27%
Other Income+,4,10,8,8,12
Interest,3,3,9,6,4
Depreciation,22,23,39,45,49
Profit before tax,74,91,113,153,180
Tax %,26%,26%,24%,22%,
Net Profit+,55,67,85,119,139
EPS in Rs,18.08,22.09,27.33,37.61,44.21
Dividend Payout %,20%,0%,7%,7%,
