Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,123,194,252,341,457,530
Expenses+,95,132,179,224,296,340
Operating Profit,28,62,72,117,161,190
OPM %,23%,32%,29%,34%,35%,36%
Other Income+,2,5,10,32,11,29
Interest,5,14,52,47,18,23
Depreciation,9,13,17,21,29,39
Profit before tax,16,40,13,81,124,158
Tax %,29%,27%,36%,27%,30%,
Net Profit+,12,29,8,59,87,111
EPS in Rs,76.00,194.69,51.28,9.91,13.52,17.63
Dividend Payout %,0%,0%,0%,0%,0%,
