Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,"1,640","1,610","1,730","2,073","2,511","3,423"
Expenses+,"1,500","1,433","1,672","1,886","2,112","2,931"
Operating Profit,140,177,59,187,399,492
OPM %,9%,11%,3%,9%,16%,14%
Other Income+,22,17,13,18,1,36
Interest,95,99,103,122,155,155
Depreciation,37,39,48,64,138,156
Profit before tax,30,56,-79,19,107,217
Tax %,26%,32%,-21%,23%,26%,36%
Net Profit+,22,38,-63,14,80,140
EPS in Rs,8.06,16.23,-2.43,0.56,3.08,4.42
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%
