Metric,Mar 2023,Mar 2024,Mar 2025
Sales+,162,366,662
Expenses+,150,337,589
Operating Profit,11,28,73
OPM %,7%,8%,11%
Other Income+,3,2,4
Interest,6,10,11
Depreciation,5,8,9
Profit before tax,4,12,57
Tax %,30%,24%,25%
Net Profit+,3,9,43
EPS in Rs,2.71,8.73,38.91
Dividend Payout %,0%,5%,1%
