Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,568,607,644,787,854
Expenses+,485,514,526,610,645
Operating Profit,82,93,118,177,209
OPM %,15%,15%,18%,22%,24%
Other Income+,9,4,6,2,4
Interest,18,19,19,18,16
Depreciation,27,33,36,42,43
Profit before tax,47,45,70,119,153
Tax %,24%,22%,18%,22%,
Net Profit+,35,35,57,93,117
EPS in Rs,7.68,7.66,12.49,20.26,25.43
Dividend Payout %,0%,0%,8%,10%,
