Metric,Mar 2025,TTM
Sales+,771,"1,055"
Expenses+,584,777
Operating Profit,186,278
OPM %,24%,26%
Other Income+,21,19
Interest,39,41
Depreciation,22,24
Profit before tax,146,232
Tax %,25%,
Net Profit+,110,171
EPS in Rs,18.42,28.62
Dividend Payout %,3%,
