Metric,Dec 2022,Dec 2023,Dec 2024,TTM
Sales+,"6,867","7,251","8,232","9,098"
Expenses+,"5,571","5,929","6,787","7,448"
Operating Profit,"1,296","1,322","1,446","1,649"
OPM %,19%,18%,18%,18%
Other Income+,92,120,118,140
Interest,5,5,5,4
Depreciation,206,223,282,330
Profit before tax,"1,177","1,214","1,278","1,455"
Tax %,25%,26%,27%,
Net Profit+,879,899,939,"1,065"
EPS in Rs,56.25,57.52,60.07,68.16
Dividend Payout %,43%,45%,47%,
