Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"2,197","2,412","2,466","3,507","3,859"
Expenses+,"2,091","2,307","2,321","3,238","3,567"
Operating Profit,106,105,144,269,293
OPM %,5%,4%,6%,8%,8%
Other Income+,7,10,8,9,11
Interest,27,24,29,38,48
Depreciation,8,9,13,30,46
Profit before tax,78,82,110,210,210
Tax %,27%,27%,32%,30%,
Net Profit+,57,60,75,146,152
EPS in Rs,62.93,65.83,5.78,9.24,9.74
Dividend Payout %,0%,0%,0%,0%,
