Metric,Mar 2022,Mar 2023,Mar 2024
Sales+,85,122,199
Expenses+,68,98,136
Operating Profit,16,24,63
OPM %,19%,20%,31%
Other Income+,28,3,1
Interest,5,5,5
Depreciation,3,5,7
Profit before tax,37,16,52
Tax %,10%,27%,27%
Net Profit+,33,12,38
EPS in Rs,21.99,7.70,25.26
Dividend Payout %,-0%,-0%,-0%
