Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,649,716,885,680,829,883
Expenses+,466,502,688,594,709,746
Operating Profit,183,214,197,87,120,137
OPM %,28%,30%,22%,13%,14%,16%
Other Income+,6,13,13,15,15,20
Interest,3,7,7,4,5,5
Depreciation,6,9,11,15,18,19
Profit before tax,180,212,192,82,111,133
Tax %,25%,25%,25%,27%,26%,
Net Profit+,135,158,143,60,82,99
EPS in Rs,12.03,13.72,12.44,5.22,7.14,8.57
Dividend Payout %,3%,5%,6%,14%,11%,
