Metric,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"3,541","4,260","4,675","4,717"
Expenses+,"2,265","2,794","3,124","3,145"
Operating Profit,"1,276","1,466","1,551","1,572"
OPM %,36%,34%,33%,33%
Other Income+,148,106,276,285
Interest,16,19,17,19
Depreciation,54,57,53,51
Profit before tax,"1,354","1,496","1,757","1,788"
Tax %,26%,26%,25%,
Net Profit+,"1,006","1,111","1,315","1,338"
EPS in Rs,12.57,13.89,16.44,16.72
Dividend Payout %,44%,47%,49%,
