Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,"1,133","1,272","1,564","2,015","1,938","2,062"
Expenses+,"1,097","1,226","1,502","1,950","1,869","1,979"
Operating Profit,36,45,62,65,70,83
OPM %,3%,4%,4%,3%,4%,4%
Other Income+,2,2,3,3,4,5
Interest,16,14,17,21,29,39
Depreciation,2,5,5,4,4,5
Profit before tax,20,29,43,43,40,45
Tax %,25%,24%,26%,24%,26%,26%
Net Profit+,15,22,32,33,30,33
EPS in Rs,9.63,13.80,20.18,20.63,4.73,5.18
Dividend Payout %,0%,0%,0%,0%,0%,289%
