Metric,Mar 2009,Mar 2010,Mar 2024,Mar 2025,TTM
Sales+,"1,013","1,141","7,990","8,700","9,270"
Expenses+,953,"1,078","7,091","7,690","8,146"
Operating Profit,60,63,899,"1,010","1,124"
OPM %,6%,5%,11%,12%,12%
Other Income+,2,4,23,20,19
Interest,21,28,154,182,172
Depreciation,22,27,409,470,525
Profit before tax,20,12,358,377,446
Tax %,40%,76%,25%,26%,
Net Profit+,12,3,267,279,329
EPS in Rs,,,12.00,12.52,14.76
Dividend Payout %,17%,37%,50%,48%,
