Metric,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,792,686,662,667
Expenses+,729,645,629,634
Operating Profit,63,40,33,32
OPM %,8%,6%,5%,5%
Other Income+,4,15,3,2
Interest,13,15,13,11
Depreciation,11,11,16,16
Profit before tax,44,30,7,7
Tax %,25%,26%,27%,
Net Profit+,33,22,5,5
EPS in Rs,10.98,7.38,1.63,1.66
Dividend Payout %,23%,24%,107%,
