Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,194,305,400,485
Expenses+,184,270,341,407
Operating Profit,10,35,59,78
OPM %,5%,11%,15%,16%
Other Income+,1,3,3,4
Interest,7,12,19,22
Depreciation,2,11,16,18
Profit before tax,2,14,26,42
Tax %,29%,28%,29%,24%
Net Profit+,2,10,18,32
EPS in Rs,,,,7.18
Dividend Payout %,-0%,-0%,-0%,-0%
