Metric,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,241","1,254","1,208","1,199"
Expenses+,"1,047","1,067","1,084","1,082"
Operating Profit,194,187,125,117
OPM %,16%,15%,10%,10%
Other Income+,7,7,13,17
Interest,2,1,1,1
Depreciation,15,19,22,22
Profit before tax,185,174,115,110
Tax %,25%,24%,26%,
Net Profit+,139,132,86,82
EPS in Rs,36.35,34.34,22.36,21.33
Dividend Payout %,22%,23%,36%,
