Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,111,264,473,530,849
Expenses+,84,175,366,384,637
Operating Profit,27,89,107,147,213
OPM %,25%,34%,23%,28%,25%
Other Income+,1,3,45,54,35
Interest,0,0,0,0,0
Depreciation,0,1,2,13,46
Profit before tax,28,91,150,187,202
Tax %,26%,25%,25%,37%,24%
Net Profit+,21,68,112,118,153
EPS in Rs,"10,366.34",67.77,112.15,6.74,8.74
Dividend Payout %,0%,0%,0%,0%,0%
