Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"2,671","3,666","4,305","4,570","4,920","4,997"
Expenses+,"2,251","3,111","3,556","3,853","4,175","4,300"
Operating Profit,420,555,749,718,745,697
OPM %,16%,15%,17%,16%,15%,14%
Other Income+,36,35,52,94,102,99
Interest,2,2,2,1,1,1
Depreciation,58,57,67,75,83,86
Profit before tax,396,531,733,736,763,709
Tax %,25%,26%,28%,25%,26%,
Net Profit+,298,395,525,552,566,525
EPS in Rs,60.26,79.95,106.25,111.70,114.56,106.32
Dividend Payout %,24%,18%,38%,116%,13%,
