Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2024,Mar 2025,TTM
Sales+,100,233,268,987,"1,182","1,133"
Expenses+,92,209,236,890,"1,085","1,050"
Operating Profit,8,24,32,97,97,84
OPM %,8%,10%,12%,10%,8%,7%
Other Income+,9,0,0,4,5,12
Interest,3,5,4,6,12,10
Depreciation,2,4,5,30,45,51
Profit before tax,13,15,24,65,45,35
Tax %,9%,35%,35%,34%,25%,
Net Profit+,12,10,16,43,34,26
EPS in Rs,3.87,3.34,5.27,10.84,7.41,5.75
Dividend Payout %,0%,0%,0%,9%,9%,
