Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017
Revenue+,667,813,"1,206","1,429"
Interest,317,334,492,531
Expenses+,201,227,339,422
Financing Profit,148,252,375,476
Financing Margin %,22%,31%,31%,33%
Other Income+,4,-4,8,612
Depreciation,4,8,10,6
Profit before tax,149,241,373,"1,082"
Tax %,32%,33%,34%,30%
Net Profit+,101,163,247,762
EPS in Rs,11.65,18.49,27.95,13.40
Dividend Payout %,0%,0%,0%,0%
