Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,36,94,209,243,247
Expenses+,28,59,130,151,161
Operating Profit,8,35,79,92,86
OPM %,22%,37%,38%,38%,35%
Other Income+,1,1,5,25,34
Interest,2,2,3,4,5
Depreciation,3,4,4,11,15
Profit before tax,4,29,76,102,101
Tax %,9%,22%,24%,18%,
Net Profit+,3,23,58,83,82
EPS in Rs,325.34,"2,189.06",13.21,16.41,16.35
Dividend Payout %,0%,0%,0%,0%,
