Metric,Mar 2024,Mar 2025,TTM
Sales+,"2,047","1,846","2,021"
Expenses+,"1,781","1,633","1,793"
Operating Profit,266,213,228
OPM %,13%,12%,11%
Other Income+,9,8,6
Interest,56,57,58
Depreciation,40,47,47
Profit before tax,179,118,129
Tax %,26%,27%,
Net Profit+,132,86,95
EPS in Rs,34.67,23.16,25.46
Dividend Payout %,7%,11%,
