Metric,Mar 20223m,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,303,"1,468","1,843","2,021","2,046"
Expenses+,256,"1,224","1,524","1,682","1,699"
Operating Profit,47,244,319,339,348
OPM %,16%,17%,17%,17%,17%
Other Income+,-0,7,13,32,35
Interest,4,17,37,54,57
Depreciation,2,44,59,83,85
Profit before tax,41,189,236,233,240
Tax %,29%,25%,25%,27%,
Net Profit+,29,142,176,170,178
EPS in Rs,,2.57,3.19,3.08,3.22
Dividend Payout %,0%,0%,0%,73%,
