Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,303,417,432,550,591
Expenses+,284,393,410,528,564
Operating Profit,19,24,22,22,27
OPM %,6%,6%,5%,4%,5%
Other Income+,1,2,3,2,2
Interest,5,6,7,18,18
Depreciation,4,4,4,13,14
Profit before tax,12,17,12,-8,-3
Tax %,27%,26%,42%,-5%,
Net Profit+,8,12,7,-7,-4
EPS in Rs,4.26,6.17,3.57,-3.71,-2.15
Dividend Payout %,0%,0%,0%,0%,
