Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,245,241,450,657,905,"1,134"
Expenses+,222,219,414,605,818,"1,018"
Operating Profit,23,22,36,52,87,116
OPM %,10%,9%,8%,8%,10%,10%
Other Income+,2,1,3,4,1,6
Interest,5,5,6,12,17,24
Depreciation,6,6,7,10,13,17
Profit before tax,14,11,26,33,58,81
Tax %,22%,29%,25%,27%,27%,27%
Net Profit+,11,8,20,24,43,59
EPS in Rs,28.00,20.82,50.37,61.85,110.85,7.65
Dividend Payout %,0%,0%,0%,0%,0%,0%
