Metric,Mar 2024,Mar 2025
Sales+,57.04,82.09
Expenses+,43.18,64.73
Operating Profit,13.86,17.36
OPM %,24.30%,21.15%
Other Income+,0.21,0.39
Interest,2.44,2.74
Depreciation,5.32,6.73
Profit before tax,6.31,8.28
Tax %,20.13%,18.84%
Net Profit+,5.04,6.72
EPS in Rs,1.55,2.07
Dividend Payout %,4.30%,4.83%
