Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,31,70,108,159
Expenses+,17,40,43,78
Operating Profit,14,30,65,80
OPM %,45%,43%,60%,51%
Other Income+,0,2,3,19
Interest,7,17,31,45
Depreciation,15,30,45,52
Profit before tax,-8,-16,-9,3
Tax %,-9%,-20%,-105%,34%
Net Profit+,-8,-13,0,2
EPS in Rs,"-6,953.70","-10,516.39",316.18,0.26
Dividend Payout %,0%,0%,0%,0%
