Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,435,"1,355","1,549","2,040","1,915","1,944"
Expenses+,403,"1,265","1,419","1,887","1,792","1,838"
Operating Profit,33,89,129,153,123,106
OPM %,8%,7%,8%,7%,6%,5%
Other Income+,5,4,4,8,22,24
Interest,9,8,6,5,5,6
Depreciation,2,3,4,6,9,12
Profit before tax,27,82,123,150,132,113
Tax %,26%,26%,26%,25%,25%,
Net Profit+,20,61,90,113,99,85
EPS in Rs,0.95,2.58,2.67,3.29,2.59,2.21
Dividend Payout %,11%,0%,2%,4%,5%,
