Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,736,742,763,"1,151","1,741","2,074","2,071"
Expenses+,603,613,673,980,"1,465","1,756","1,772"
Operating Profit,133,129,91,171,276,318,299
OPM %,18%,17%,12%,15%,16%,15%,14%
Other Income+,7,9,8,21,38,43,43
Interest,1,1,0,1,2,-1,-1
Depreciation,8,8,8,9,10,11,11
Profit before tax,131,129,90,183,302,351,332
Tax %,24%,25%,27%,26%,25%,26%,
Net Profit+,100,97,66,136,225,260,246
EPS in Rs,,,,,19.68,22.73,21.50
Dividend Payout %,0%,0%,0%,0%,11%,0%,
