Metric,Mar 2006
Sales+,506
Expenses+,510
Operating Profit,-4
OPM %,-1%
Other Income+,19
Interest,6
Depreciation,2
Profit before tax,6
Tax %,35%
Net Profit+,4
EPS in Rs,0.27
Dividend Payout %,37%
