Metric,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,52.78,63.31,79.96,84.12
Expenses+,49.13,58.35,75.53,79.58
Operating Profit,3.65,4.96,4.43,4.54
OPM %,6.92%,7.83%,5.54%,5.40%
Other Income+,0.70,0.17,0.32,0.28
Interest,1.29,1.66,1.59,1.24
Depreciation,1.24,1.44,0.60,0.63
Profit before tax,1.82,2.03,2.56,2.95
Tax %,26.37%,26.60%,29.30%,
Net Profit+,1.33,1.49,1.81,2.09
EPS in Rs,0.23,0.26,0.31,0.36
Dividend Payout %,0.00%,0.00%,0.00%,
