Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,391,595,874,868,"1,244"
Expenses+,359,548,733,749,"1,051"
Operating Profit,32,47,140,119,194
OPM %,8%,8%,16%,14%,16%
Other Income+,2,2,3,4,6
Interest,22,21,28,30,34
Depreciation,3,4,5,6,6
Profit before tax,9,24,110,87,159
Tax %,34%,27%,21%,27%,26%
Net Profit+,7,17,87,64,119
EPS in Rs,4.88,12.12,61.10,44.37,16.57
Dividend Payout %,0%,0%,0%,0%,0%
