Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,121,257,194,226,327
Expenses+,110,225,169,191,289
Operating Profit,11,32,25,35,38
OPM %,9%,12%,13%,16%,12%
Other Income+,2,4,10,6,27
Interest,2,3,5,3,2
Depreciation,0,2,2,2,3
Profit before tax,11,31,28,36,60
Tax %,29%,25%,22%,24%,23%
Net Profit+,8,23,22,27,46
EPS in Rs,"8,040.00",84.28,78.00,92.44,14.34
Dividend Payout %,0%,0%,0%,0%,0%
