Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,219,248,438,637,828,"1,144"
Expenses+,391,503,987,"1,000",974,"1,184"
Operating Profit,-173,-256,-549,-364,-146,-40
OPM %,-79%,-103%,-126%,-57%,-18%,-3%
Other Income+,44,42,72,90,100,116
Interest,8,10,8,8,10,11
Depreciation,19,26,28,31,37,37
Profit before tax,-155,-249,-514,-312,-93,29
Tax %,0%,0%,0%,0%,0%,-740%
Net Profit+,-155,-249,-514,-312,-93,240
EPS in Rs,"-11,782.84","-14,926.95","-27,791.35","-16,890.81","-5,009.18",4.90
Dividend Payout %,0%,0%,0%,0%,0%,0%
