Metric,TTM
Sales+,271
Expenses+,235
Operating Profit,36
OPM %,13%
Other Income+,0
Interest,12
Depreciation,9
Profit before tax,15
Tax %,
Net Profit+,11
EPS in Rs,4.35
Dividend Payout %,
