Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,120,164,203,318,404
Expenses+,70,77,96,117,140
Operating Profit,50,88,107,201,264
OPM %,42%,53%,53%,63%,65%
Other Income+,0,0,0,1,0
Interest,0,2,0,2,2
Depreciation,1,4,1,5,5
Profit before tax,49,81,106,195,258
Tax %,26%,26%,26%,23%,26%
Net Profit+,36,60,79,151,191
EPS in Rs,7.28,12.07,15.82,30.29,9.56
Dividend Payout %,27%,33%,16%,25%,26%
