Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,314,425,452,504
Expenses+,265,359,374,416
Operating Profit,49,66,78,88
OPM %,16%,16%,17%,18%
Other Income+,3,0,2,2
Interest,3,6,6,8
Depreciation,4,5,6,7
Profit before tax,44,56,68,75
Tax %,30%,20%,26%,29%
Net Profit+,31,45,50,53
EPS in Rs,174.74,250.27,10.69,11.39
Dividend Payout %,0%,0%,0%,0%
