Metric,Mar 2011,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Sales+,"3,461","4,789","5,994","7,696","9,164"
Expenses+,"3,436","4,740","5,942","7,638","9,201"
Operating Profit,25,50,52,58,-37
OPM %,1%,1%,1%,1%,-0%
Other Income+,5,3,-0,4,11
Interest,7,13,11,7,4
Depreciation,2,5,5,4,3
Profit before tax,20,35,37,51,-34
Tax %,36%,38%,37%,35%,-60%
Net Profit+,13,15,21,33,-13
EPS in Rs,7.42,8.69,12.24,19.35,-6.13
Dividend Payout %,18%,59%,17%,4%,0%
