Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,313,337,375,492,538
Expenses+,268,298,336,452,488
Operating Profit,45,38,39,40,50
OPM %,14%,11%,11%,8%,9%
Other Income+,1,1,1,1,1
Interest,5,6,7,18,21
Depreciation,8,9,10,31,39
Profit before tax,33,24,23,-8,-9
Tax %,25%,25%,27%,-22%,
Net Profit+,24,18,17,-6,-7
EPS in Rs,11.92,8.74,8.24,-2.70,-3.17
Dividend Payout %,8%,11%,12%,0%,
