Metric,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,319","1,257","1,410","1,566"
Expenses+,"1,163","1,180","1,312","1,477"
Operating Profit,156,77,98,89
OPM %,12%,6%,7%,6%
Other Income+,12,14,8,19
Interest,8,12,31,38
Depreciation,23,26,57,65
Profit before tax,138,52,18,6
Tax %,24%,34%,88%,
Net Profit+,104,34,2,-8
EPS in Rs,26.08,8.72,0.77,-1.91
Dividend Payout %,5%,14%,130%,
