Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,73,104,153,151,150,154
Expenses+,62,95,126,115,149,161
Operating Profit,11,9,26,37,1,-7
OPM %,15%,9%,17%,24%,1%,-5%
Other Income+,0,0,0,0,2,5
Interest,2,3,3,4,8,7
Depreciation,3,3,4,12,21,20
Profit before tax,6,3,20,21,-26,-30
Tax %,18%,34%,30%,44%,-25%,
Net Profit+,5,2,14,12,-20,-24
EPS in Rs,4.81,1.94,13.90,11.62,-4.92,-6.98
Dividend Payout %,0%,0%,0%,0%,0%,
