Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,28,232,501,545
Expenses+,26,211,432,438
Operating Profit,2,21,69,107
OPM %,8%,9%,14%,20%
Other Income+,5,4,7,6
Interest,4,6,7,6
Depreciation,0,0,0,0
Profit before tax,2,19,68,107
Tax %,9%,23%,24%,28%
Net Profit+,2,15,52,77
EPS in Rs,68.75,463.75,"1,615.31",10.39
Dividend Payout %,0%,0%,0%,0%
