Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,94,85,181,250,278
Expenses+,60,67,79,104,112
Operating Profit,34,18,102,147,166
OPM %,36%,22%,56%,59%,60%
Other Income+,0,-0,1,-0,0
Interest,1,1,1,2,6
Depreciation,5,5,6,7,11
Profit before tax,28,12,95,137,149
Tax %,22%,27%,26%,24%,
Net Profit+,22,9,71,104,112
EPS in Rs,,,,14.68,15.90
Dividend Payout %,10%,16%,5%,7%,
