Metric,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,337,387,453,490
Expenses+,267,305,364,394
Operating Profit,70,83,89,97
OPM %,21%,21%,20%,20%
Other Income+,5,8,5,5
Interest,8,8,11,11
Depreciation,16,17,38,39
Profit before tax,50,66,45,53
Tax %,30%,33%,25%,
Net Profit+,35,44,34,38
EPS in Rs,,8.25,6.33,7.10
Dividend Payout %,8%,6%,8%,
